START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*
2016-01-07 13:27:00,2016-01-07 13:33:00,First Class,Cary,Cary,0.8,Meeting
2016-01-10 08:05:00,2016-01-10 08:25:00,First Class,Cary,Morrisville,8.3,Meeting
2016-01-15 00:41:00,2016-01-15 01:01:00,First Class,Morrisville,Cary,8.0,Errand/Supplies
2016-01-15 11:43:00,2016-01-15 12:03:00,First Class,Cary,Durham,10.4,Meal/Entertain
2016-01-18 14:55:00,2016-01-18 15:06:00,First Class,Cary,Cary,4.8,Meal/Entertain
2016-01-20 10:36:00,2016-01-20 11:11:00,First Class,Cary,Raleigh,17.1,Meeting
2016-01-21 14:25:00,2016-01-21 14:29:00,First Class,Cary,Cary,1.6,Errand/Supplies
2016-01-21 14:43:00,2016-01-21 14:51:00,First Class,Cary,Cary,2.4,Meal/Entertain
2016-01-21 16:01:00,2016-01-21 16:06:00,First Class,Cary,Cary,1.0,Meal/Entertain
2016-01-26 17:17:00,2016-01-26 17:22:00,First Class,Cary,Cary,1.4,Errand/Supplies
2016-01-26 17:27:00,2016-01-26 17:29:00,First Class,Cary,Cary,0.5,Errand/Supplies
2016-01-27 09:24:00,2016-01-27 09:31:00,First Class,Cary,Cary,1.8,Meeting
2016-01-27 10:19:00,2016-01-27 10:48:00,First Class,Cary,Raleigh,18.7,Customer Visit
2016-01-28 12:28:00,2016-01-28 13:00:00,First Class,Cary,Raleigh,19.0,Temporary Site
2016-01-29 09:31:00,2016-01-29 09:45:00,First Class,Cary,Cary,4.6,Customer Visit
2016-01-29 10:56:00,2016-01-29 11:07:00,First Class,Cary,Cary,5.2,Meeting
2016-01-29 11:43:00,2016-01-29 12:03:00,First Class,Cary,Durham,10.4,Meeting
2016-01-29 18:31:00,2016-01-29 18:52:00,First Class,Cary,Apex,5.8,Errand/Supplies
2016-01-30 16:21:00,2016-01-30 16:33:00,First Class,Cary,Apex,5.7,Errand/Supplies
2016-02-01 10:35:00,2016-02-01 11:15:00,First Class,Cary,Chapel Hill,19.4,Customer Visit
2016-02-02 13:51:00,2016-02-02 14:06:00,First Class,Cary,Cary,6.0,Errand/Supplies
2016-02-02 14:38:00,2016-02-02 14:42:00,First Class,Cary,Cary,1.6,Errand/Supplies
2016-02-04 08:40:00,2016-02-04 09:01:00,First Class,Cary,Morrisville,5.2,Errand/Supplies
2016-02-04 09:37:00,2016-02-04 10:09:00,First Class,Morrisville,Cary,9.7,Meal/Entertain
2016-02-04 10:26:00,2016-02-04 10:32:00,First Class,Cary,Cary,1.6,Meal/Entertain
2016-02-04 15:59:00,2016-02-04 16:03:00,First Class,Cary,Cary,1.1,Meal/Entertain
2016-02-04 16:35:00,2016-02-04 16:39:00,First Class,Cary,Cary,1.6,Meal/Entertain
2016-02-04 20:36:00,2016-02-04 20:55:00,First Class,Cary,Cary,7.7,Meeting
2016-02-05 11:47:00,2016-02-05 12:07:00,First Class,Cary,Durham,10.4,Meeting
2016-02-06 16:20:00,2016-02-06 16:53:00,First Class,Cary,Raleigh,11.4,Between Offices
2016-02-07 16:49:00,2016-02-07 17:01:00,First Class,Cary,Apex,5.6,Errand/Supplies
2016-02-07 18:39:00,2016-02-07 18:53:00,First Class,Cary,Morrisville,6.1,Temporary Site
2016-02-07 20:22:00,2016-02-07 20:40:00,First Class,Morrisville,Cary,6.1,Meeting
2016-02-09 18:55:00,2016-02-09 19:11:00,First Class,Cary,Morrisville,6.1,
2016-02-09 20:24:00,2016-02-09 20:40:00,First Class,Morrisville,Cary,6.1,Meal/Entertain
2016-02-11 16:28:00,2016-02-11 17:10:00,First Class,Cary,Raleigh,17.3,Meal/Entertain
2016-02-11 20:36:00,2016-02-11 20:51:00,First Class,Morrisville,Cary,6.1,Temporary Site
2016-02-12 08:21:00,2016-02-12 08:42:00,First Class,Cary,Durham,8.5,Temporary Site
2016-02-12 11:14:00,2016-02-12 11:35:00,First Class,Morrisville,Raleigh,17.0,Customer Visit
2016-02-12 14:49:00,2016-02-12 15:06:00,First Class,Cary,Morrisville,8.4,Meeting
2016-02-12 15:33:00,2016-02-12 16:06:00,First Class,Morrisville,Cary,11.5,Customer Visit
2016-02-13 14:21:00,2016-02-13 14:41:00,First Class,Cary,Morrisville,8.9,Meeting
2016-02-22 21:54:00,2016-02-22 22:09:00,First Class,Morrisville,Cary,8.1,Customer Visit
2016-02-26 11:35:00,2016-02-26 11:59:00,First Class,Cary,Durham,10.6,Meeting
2016-02-29 11:30:00,2016-02-29 11:40:00,First Class,Cary,Apex,3.8,Meeting
2016-03-03 15:27:00,2016-03-03 15:48:00,First Class,Cary,Raleigh,7.6,Customer Visit
2016-03-04 07:47:00,2016-03-04 08:06:00,First Class,Cary,Durham,9.9,Meeting
2016-03-04 11:46:00,2016-03-04 12:06:00,First Class,Cary,Durham,10.4,Meeting
